Cidade;Demanda (kg)
MEDIANEIRA - PR;0
PRES. VENCESLAU - SP;1034,5
PRES. EPITÁCIO - SP;46,2
ESTRELA DO NORTE - SP;597
REGENTE FEIJÓ - SP;377,3
TACIBA -SP;90,6
HERCULÂNDIA - SP;137,8
TUPÃ - SP;94,8
PARAPUÃ - SP;851,9
ADAMANTINA - SP;403,2
PACAEMBU - SP;141
TRÊS LAGOAS - MS;2013,2
CEU AZUL - PR;225,7
LINDOESTE - PR;314,5
SANTO ANTONIO DO SUDOESTE - PR;226,6
SANTA IZABEL DO OESTE - PR;506,2
NOVA PRATA DO IGUAÇU - PR;95,4
BOA ESPERANÇA DO IGUAÇU - PR;150
FRANCISCO BELTRÃO - PR;795,5
ITAPEJARA D'OESTE - PR;661,4
CORONEL VIVIDA - PR;505,85
HONORIO SERPA - PR;105
BITURUNA - PR;231,5
UNIÃO DA VITÓRIA - PR;160,8
PAULO FRONTIN - PR;91
FOZ DO IGUAÇU - PR;882,25
SANTA TEREZINHA DO ITAIPU - PR;385,35
ITAPEVA - SP;1520
LARANJEIRAS DO SUL - PR;649,5
FORMOSA DO OESTE - PR;70
PIRAPOZINHO - SP;273,7
OSVALDO CRUZ - SP;510,2
DRACENA - SP;77,4
TUPI PAULISTA - SP;454,4
ANDRADINA - SP;1118,45
GUARAÇAI - SP;302,9
MIRANDOPOLIS - SP;823,6
PENAPOLIS - SP;132
PROMISSÃO - SP;486,2
VERA CRUZ - SP;87,5
GARÇA - SP;207,6
BERNARDINO DE CAMPOS - SP;49,2
SALTO GRANDE - SP;105,7
IBIRAREMA - SP;297,2
SANTA TEREZA DO OESTE - PR;275
CASCAVEL - PR;776,35
GUARANIAÇU - PR;444,5
QUEDAS DO IGUAÇU - PR;910,5
NOVA LARANJEIRAS - PR;589,8
RIO BONITO DO IGUAÇU - PR;596,6
GUARAPUAVA - PR;502,5
IMBUTIVA - PR;409,4
PONTA GROSSA - PR;260,63
IRATI - PR;216
RIO AZUL - PR;242,3
PALMAS - PR;531,82
MANGUEIRINHA - PR;839,95
SÃO JOÃO DO IVAÍ - PR;1054,2
DOIS VIZINHOS - PR;1631,18
SALGADO FILHO - PR;192
REALEZA - PR;501,1
CAPANEMA - PR;490,5
CAPITÃO LEÔNIDAS MARQUES - PR;61,85
ASSIS - SP;639,8
OURINHOS - SP;769
SANTA CRUZ DO RIO DO PARDO - SP;1446,5
SÃO PEDRO DO TURVO - SP;323,5
RIBEIRÃO DO SUL - SP;133,8
MARÍLIA - SP;3983,9
GÁLIA - SP;300
GUARANTÃ - SP;197,8
PIRAJUÍ - SP;551
CAFELÂNDIA - SP;604
LINS - SP;260,6
GUAIÇARA - SP;127,8
BIRIGUI - SP;176,8
BURITAMA - SP;328,8
RANCHARIA - SP;269,55
PRES. PRUDENTE - SP;852,2
ALVARES MACHADO - SP;152
PRES. BERNARDES - SP;267,9
SANTO ANASTÁCIO - SP;532,55
TEODORO SAMPAIO - SP;360,4
BATAGUASSU - MS;1584,6
MAL. CÂNDIDO RONDON - PR;568,95
TOLEDO - PR;631
IPORÃ - PR;427,1
TERRA ROXA - PR;282
NOVA SANTA ROSA - PR;696,55
QUATRO PONTES - PR;207,9
SANTA HELENA - PR ;618,4
DIAMANTE DO OESTE - PR;238
MISSAL - PR;397,9
